car_id,image_type,local_path,source_url,source_page_url,creator,license,license_url,attribution,verified
1,hero,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_hero.jpg,,,,,,,NO
1,front,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_front.jpg,,,,,,,NO
1,rear,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_rear.jpg,,,,,,,NO
1,side,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_side.jpg,,,,,,,NO
1,interior,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_interior.jpg,,,,,,,NO
1,dashboard,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_dashboard.jpg,,,,,,,NO
1,engine,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_engine.jpg,,,,,,,NO
1,wheels,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_wheels.jpg,,,,,,,NO
1,detail,01_Nissan_GT_R_R34/01_nissan_gt_r_r34_detail.jpg,,,,,,,NO
2,hero,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_hero.jpg,,,,,,,NO
2,front,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_front.jpg,,,,,,,NO
2,rear,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_rear.jpg,,,,,,,NO
2,side,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_side.jpg,,,,,,,NO
2,interior,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_interior.jpg,,,,,,,NO
2,dashboard,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_dashboard.jpg,,,,,,,NO
2,engine,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_engine.jpg,,,,,,,NO
2,wheels,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_wheels.jpg,,,,,,,NO
2,detail,02_Nissan_GT_R_R35/02_nissan_gt_r_r35_detail.jpg,,,,,,,NO
3,hero,03_Nissan_370Z/03_nissan_370z_hero.jpg,,,,,,,NO
3,front,03_Nissan_370Z/03_nissan_370z_front.jpg,,,,,,,NO
3,rear,03_Nissan_370Z/03_nissan_370z_rear.jpg,,,,,,,NO
3,side,03_Nissan_370Z/03_nissan_370z_side.jpg,,,,,,,NO
3,interior,03_Nissan_370Z/03_nissan_370z_interior.jpg,,,,,,,NO
3,dashboard,03_Nissan_370Z/03_nissan_370z_dashboard.jpg,,,,,,,NO
3,engine,03_Nissan_370Z/03_nissan_370z_engine.jpg,,,,,,,NO
3,wheels,03_Nissan_370Z/03_nissan_370z_wheels.jpg,,,,,,,NO
3,detail,03_Nissan_370Z/03_nissan_370z_detail.jpg,,,,,,,NO
